UID        PID  PPID  C STIME TTY          TIME CMD
avahi     1034  1033  0 Jan12 ?        00:00:00 avahi-daemon: chroot helper
whoopsie  1036     1  0 Jan12 ?        00:00:00 /usr/bin/whoopsie -f
root      1038     1  0 Jan12 ?        00:01:18 /usr/sbin/sshd -D
kernoops  1041     1  0 Jan12 ?        00:00:33 /usr/sbin/kerneloops --test
kernoops  1044     1  0 Jan12 ?        00:00:33 /usr/sbin/kerneloops
root      1057     1  0 Jan12 ?        00:00:39 /usr/sbin/automount --pid-file /var/run/autofs.pid
root      1108     1  0 Jan12 ?        00:00:07 /usr/sbin/console-kit-daemon --no-daemon
root      1458  1038  0 Feb01 ?        00:00:01 sshd: adb0301 [priv]
root      1460  1038  0 Feb01 ?        00:00:01 sshd: adb0301 [priv]
adb0301   1525  1458  0 Feb01 ?        00:00:01 sshd: adb0301@notty
adb0301   1535  1460  0 Feb01 ?        00:00:01 sshd: adb0301@notty
adb0301   1536  1525  0 Feb01 ?        00:00:00 /usr/lib/openssh/sftp-server
adb0301   1537  1535  0 Feb01 ?        00:00:00 /usr/lib/openssh/sftp-server
root      1581     1  0 Jan12 ?        00:00:00 /bin/bash /usr/share/xdiagnose/failsafeXServer
root      1592  1581  0 Jan12 ?        00:00:00 xinit /usr/share/xdiagnose/failsafeXinit /etc/X11/xorg.conf.failsafe -- /usr/bin/X -br -once -config /etc/X11/xorg.conf.failsafe -logfile /var/log/Xorg.failsafe.log
root      1593  1592  0 Jan12 tty2     00:00:00 /usr/lib/xorg/Xorg :0 -br -once -config /etc/X11/xorg.conf.failsafe -logfile /var/log/Xorg.failsafe.log
root      1604  1592  0 Jan12 ?        00:00:00 /bin/bash /usr/share/xdiagnose/failsafeXinit /etc/X11/xorg.conf.failsafe
root      1611  1604  0 Jan12 ?        00:00:00 zenity --warning --text <big><b>The system is running in low-graphics mode</b></big>\n\nYour screen, graphics card, and input device settings\ncould not be detected correctly.  You will need to configure these yourself.
root      1621     1  0 Jan12 ?        00:00:00 dbus-launch --autolaunch 731673155a003ca8c7b0d82a4c75323c --binary-syntax --close-stderr
root      1622     1  0 Jan12 ?        00:00:00 /usr/bin/dbus-daemon --syslog-only --fork --print-pid 5 --print-address 7 --session
root      1624     1  0 Jan12 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
root      1629  1624  0 Jan12 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
root      1631     1  0 Jan12 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
root      3137  1038  0 Jan31 ?        00:00:01 sshd: cz0056 [priv]
cz0056    3187  3137  0 Jan31 ?        00:00:14 sshd: cz0056@notty
cz0056    3188  3187  0 Jan31 ?        00:00:02 /usr/lib/openssh/sftp-server
root      4335  1038  0 Jan31 ?        00:00:02 sshd: localadmin [priv]
localad+  4379  4335  0 Jan31 ?        00:00:18 sshd: localadmin@pts/1
root      4380  1038  0 Jan31 ?        00:00:00 sshd: localadmin [priv]
localad+  4382  4379  0 Jan31 pts/1    00:00:00 -bash
localad+  4451  4380  0 Jan31 ?        00:00:00 sshd: localadmin@notty
localad+  4452  4451  0 Jan31 ?        00:00:00 /usr/lib/openssh/sftp-server
root      5761     2  0 Feb03 ?        00:00:00 [xfsalloc]
root      5766     2  0 Feb03 ?        00:00:00 [xfs_mru_cache]
root      5770     2  0 Feb03 ?        00:00:00 [jfsIO]
root      5771     2  0 Feb03 ?        00:00:00 [jfsCommit]
